type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   88          60          8           1           10          1           15          
Substrate   88          75          -6          9           -10         8           11          
Product     88          108         7           7           5           6           15          
Substrate   88          112         -14         11          -13         9           6           
Substrate   89          84          2           4           -8          7           18          
Substrate   89          118         -4          -4          1           -4          10          
Substrate   90          11          -3          -10         -8          -9          16          
Substrate   90          62          -5          14          -7          16          9           
Substrate   91          19          5           3           1           -1          14          
Substrate   91          33          9           0           9           5           13          
Enzyme      91          65          -4          -4          -5          -4          10          
Substrate   92          11          -7          -2          -3          -4          9           
Substrate   92          23          4           -2          7           -4          10          
Enzyme      92          35          1           2           2           -1          12          
Enzyme      92          56          -10         9           -9          7           17          
Substrate   92          61          2           1           1           0           1           
Substrate   92          95          4           0           6           -1          12          
Enzyme      92          116         2           9           3           7           10          
Substrate   93          74          -4          13          -5          9           16          
Substrate   93          79          -7          8           -7          10          10          
Enzyme      93          119         -1          4           -4          8           11          
ES          94          30          20          6           17          10          13          
Enzyme      94          37          1           5           -2          1           14          
Substrate   94          56          -10         10          -8          11          12          
Enzyme      94          77          -2          -7          -2          -9          11          
Substrate   94          87          11          6           10          3           13          
Substrate   94          114         9           3           7           6           12          
Enzyme      94          127         20          -1          21          0           5           
Substrate   95          1           2           -15         -2          -16         16          
Enzyme      95          44          -16         9           -19         14          8           
Substrate   95          51          -15         12          -12         12          8           
Substrate   95          53          -7          17          -10         15          12          
ES          95          59          2           7           3           11          14          
Substrate   95          66          -5          -1          -6          -2          6           
Enzyme      95          76          0           0           -1          -1          3           
Substrate   95          100         -10         -4          -9          -1          15          
Substrate   96          3           6           12          7           13          10          
Enzyme      96          24          -18         -5          -21         -10         9           
Substrate   96          36          -2          -13         -7          -10         14          
Enzyme      96          77          -1          0           -3          -2          15          
Substrate   96          125         -8          -12         -2          -6          22          
Substrate   96          127         -6          0           -7          3           14          
Substrate   97          8           16          15          20          15          14          
Substrate   97          26          16          4           16          1           14          
Substrate   97          35          2           -8          3           -7          6           
Enzyme      97          39          7           6           5           7           9           
Substrate   97          48          2           -2          1           -5          9           
Substrate   97          108         7           -13         5           -18         12          
Substrate   97          114         -13         -12         -13         -11         15          
Substrate   98          3           -12         -6          -14         -2          14          
Substrate   98          20          11          -5          12          -7          9           
Substrate   98          31          -9          13          -11         14          9           
Substrate   98          45          -4          8           -3          9           1           
Substrate   98          112         0           -10         -3          -13         11          
Substrate   99          31          -4          3           -5          3           17          
Substrate   99          76          -4          7           -2          7           14          
Substrate   99          81          5           -5          8           -8          9           
Enzyme      99          98          -14         6           -19         8           9           
Enzyme      99          103         4           2           5           4           7           
Substrate   99          108         -2          -9          -3          -9          19          
Substrate   99          109         -5          0           -5          0           8           
Substrate   99          122         17          0           15          2           12          
Substrate   100         42          4           19          1           20          10          
Substrate   100         43          9           -2          8           -2          14          
ES          100         66          2           -5          4           -10         12          
ES          100         93          -19         10          -21         10          20          
Substrate   100         109         14          -4          11          -5          12          
ES          101         8           -5          -9          -4          -8          16          
Substrate   101         35          3           7           4           9           10          
Substrate   101         38          15          -6          19          -3          11          
Substrate   101         40          11          -18         7           -19         17          
Substrate   101         74          -14         -7          -14         -8          12          
Substrate   101         98          9           -1          7           -5          15          
